Round	GWAS1	GWAS2	NewGWAS	CovType	Evaluate	Eff1X2	Eff2X2	NewEffX2	Psi	allPi	sigPi	sigSNP1N	sigSNP2N	sigSNPminN	sigSNPAECN	sigSNPSECN	sigSNPSTBN	sigSNPPWDN	sigSNPAECuniN	sigSNPSECuniN	sigSNPSTBuniN	sigSNPAECinterN	sigSNPSECinterN	sigSNPSTBinterN	Ess1	Ess2	EssNew	bw1	bw2	tw1	tw2
22	Y10_Y12	Y5_Y7	Y10_Y12_Y5_Y7	NA	FALSE	0.02536866	0.02781049	NA	-0.03932922	-0.3714381	-0.4914672	40	17	42	36	29	32	38	22	21	19	0	0	0	NA	NA	NA	NA	NA	NA	NA
23	Y2	Y6_Y11L	Y2_Y6_Y11L	NA	FALSE	0.040363	0.04204819	NA	0.01165764	0.2357383	0.5148344	25	34	36	17	15	24	29	12	13	21	5	2	5	NA	NA	NA	NA	NA	NA	NA
24	Y8	Y5_Y7	Y8_Y5_Y7	SEC	TRUE	0.04468	0.02781049	0.05231563	0.06140032	-0.2978837	-0.2965429	23	17	34	38	40	24	33	27	29	17	0	0	0	10303	17946	25699	0.5586058	-0.4413942	0.8821802	-0.528183
25	Y1_Y3	Y8_Y5_Y7	Y1_Y3_Y8_Y5_Y7	NA	FALSE	0.08464186	0.05231563	NA	-0.06058305	0.7252527	0.6923229	32	40	47	33	43	43	46	19	33	31	3	3	3	NA	NA	NA	NA	NA	NA	NA
26	Y6_Y11L	Y8_Y5_Y7	Y6_Y11L_Y8_Y5_Y7	NA	FALSE	0.04204819	0.05231563	NA	0.2223041	1	0.8634367	34	40	40	45	45	46	47	34	34	34	13	13	13	NA	NA	NA	NA	NA	NA	NA
27	Y10_Y12	Y8_Y5_Y7	Y10_Y12_Y8_Y5_Y7	NA	FALSE	0.02536866	0.05231563	NA	0.311666	0.7867249	0.8295855	40	40	55	42	39	41	38	37	35	36	10	10	10	NA	NA	NA	NA	NA	NA	NA
28	Y10_Y12	Y4_Y9	Y10_Y12_Y4_Y9	NA	FALSE	0.02536866	0.102371	NA	0.04629263	-0.2771288	-0.3412578	40	109	117	102	97	81	126	102	97	68	0	0	0	NA	NA	NA	NA	NA	NA	NA
29	Y4_Y9	Y1_Y3	Y4_Y9_Y1_Y3	NA	FALSE	0.102371	0.08464186	NA	-0.1576407	-0.1187992	-0.7038687	109	32	109	65	113	28	77	54	111	18	13	13	13	NA	NA	NA	NA	NA	NA	NA
30	Y4_Y9	Y8_Y5_Y7	Y4_Y9_Y8_Y5_Y7	NA	FALSE	0.102371	0.05231563	NA	-0.5082615	-0.7899925	-0.716946	109	40	109	88	92	42	110	84	88	35	19	19	19	NA	NA	NA	NA	NA	NA	NA
31	Y2	Y1_Y3	Y2_Y1_Y3	NA	FALSE	0.040363	0.08464186	NA	-0.1575815	-0.2006227	-0.5913779	25	32	38	33	26	32	40	26	24	25	0	0	0	NA	NA	NA	NA	NA	NA	NA
32	Y2	Y8_Y5_Y7	Y2_Y8_Y5_Y7	NA	FALSE	0.040363	0.05231563	NA	0.3371736	0.8326601	0.1631849	25	40	54	25	29	36	63	25	8	15	0	0	0	NA	NA	NA	NA	NA	NA	NA
33	Y2	Y4_Y9	Y2_Y4_Y9	NA	FALSE	0.040363	0.102371	NA	-0.2032365	-0.5254208	0.1491817	25	109	111	102	90	77	116	74	63	50	0	0	0	NA	NA	NA	NA	NA	NA	NA
